Timestamp;Date;Time;Temp;CO2;Noise;Brightness;Relative-humidity;Motion;Nr-People;Lights-on/off;External-noise;Internal-noise;Nr-Windows;Nr-Computers;Weekday;Vents-on/off;;;;
08.09.2017 10:57;08.09.2017;10.57;23.9976803809;463.0;39.7258821753;48.42;29.0562812843;1;4;1;0;2;1;5;0;1;;;;
08.09.2017 11:02;08.09.2017;11.02;24.0077524112;464.0;40.1312223234;48.06;28.824319374899996;1;4;1;0;2;1;5;0;1;;;;
08.09.2017 11:07;08.09.2017;11.07;24.0178244415;466.0;45.107591048500005;47.34;28.958613112;1;5;1;0;3;1;6;0;1;;;;
08.09.2017 11:12;08.09.2017;11.12;24.037968502;466.0;45.5880441493;48.06;28.6778171163;1;5;1;0;3;1;6;0;1;;;;
08.09.2017 11:17;08.09.2017;11.17;24.0480405323;468.0;40.1312223234;47.7;28.824319374899996;1;3;1;0;2;1;6;0;1;;;;
08.09.2017 11:22;08.09.2017;11.22;24.0480405323;469.0;40.1312223234;47.7;28.6289830302;1;3;1;0;2;1;6;0;1;;;;
08.09.2017 11:27;08.09.2017;11.27;24.0480405323;471.0;40.1312223234;46.98;28.586253204699997;1;3;1;0;2;1;6;0;1;;;;
08.09.2017 11:32;08.09.2017;11.32;24.0681845928;471.0;40.1312223234;47.34;28.3542912953;1;5;1;0;1;1;6;0;1;;;;
08.09.2017 11:37;08.09.2017;11.37;24.0681845928;470.0;40.521926729899995;46.98;28.1589549506;1;7;1;0;2;1;8;0;1;;;;
08.09.2017 11:42;08.09.2017;11.42;24.0782566231;472.0;52.3321862253;46.26;28.2261018191;1;7;1;0;2;1;8;0;1;;;;
08.09.2017 11:47;08.09.2017;11.47;24.0782566231;474.0;40.1312223234;46.26;28.281040166;1;7;1;0;2;1;8;0;1;;;;
08.09.2017 11:52;08.09.2017;11.52;24.0681845928;475.0;40.1312223234;46.62;28.4458552069;1;7;1;0;2;1;8;0;1;;;;
08.09.2017 11:57;08.09.2017;11.57;24.0681845928;476.0;44.85834218390001;45.54;28.0979123428;1;7;1;0;2;1;8;0;1;;;;
08.09.2017 12:02;08.09.2017;12.02;24.0681845928;476.0;50.584352773599996;45.18;28.1345379075;1;7;1;0;2;1;8;0;1;;;;
08.09.2017 12:07;08.09.2017;12.07;24.0480405323;476.0;40.1312223234;45;27.9514100842;1;7;1;0;2;1;8;0;1;;;;
08.09.2017 12:12;08.09.2017;12.12;24.0480405323;476.0;40.1312223234;46.98;27.9758271273;1;6;1;0;2;1;8;0;1;;;;
08.09.2017 12:17;08.09.2017;12.17;24.0681845928;476.0;45.5880441493;45.36;28.1833719937;1;6;1;0;2;1;8;0;1;;;;
08.09.2017 12:22;08.09.2017;12.22;24.0480405323;476.0;65.2184753156;45.54;28.378708338400003;1;6;1;0;2;1;8;0;1;;;;
08.09.2017 12:27;08.09.2017;12.27;24.0681845928;476.0;40.1312223234;45.9;27.853741911900002;1;4;1;0;1;1;8;0;1;;;;
