Date,TimeStep,Temp,CO2,Noise,Brightness,Relative-humidity,Motion,No-People,Lights,External-Noise,Internal-Noise,Door-Open,No-Windows,Lecture,No-Computers,Weekday,Vents,Time
08-09-17,10:57,23.99768038,463,39.72588218,48.42,29.05628128,1,4,On,VeryLow,Moderate,No,1,No,5,0,On,10.95
08-09-17,11:02,24.00775241,464,40.13122232,48.06,28.82431937,1,4,On,VeryLow,Moderate,No,1,No,5,0,On,11.03
08-09-17,11:07,24.01782444,466,45.10759105,47.34,28.95861311,1,5,On,VeryLow,High,No,1,No,6,0,On,11.12
08-09-17,11:12,24.0379685,466,45.58804415,48.06,28.67781712,1,5,On,VeryLow,High,No,1,No,6,0,On,11.2
08-09-17,11:17,24.04804053,468,40.13122232,47.7,28.82431937,1,3,On,VeryLow,Moderate,No,1,No,6,0,On,11.28
08-09-17,11:22,24.04804053,469,40.13122232,47.7,28.62898303,1,3,On,VeryLow,Moderate,No,1,No,6,0,On,11.37
08-09-17,11:27,24.04804053,471,40.13122232,46.98,28.5862532,1,3,On,VeryLow,Moderate,No,1,No,6,0,On,11.45
08-09-17,11:32,24.06818459,471,40.13122232,47.34,28.3542913,1,5,On,VeryLow,Low,No,1,No,6,0,On,11.53
08-09-17,11:37,24.06818459,470,40.52192673,46.98,28.15895495,1,7,On,VeryLow,Moderate,No,1,No,8,0,On,11.62
08-09-17,11:42,24.07825662,472,52.33218623,46.26,28.22610182,1,7,On,VeryLow,Moderate,No,1,No,8,0,On,11.7
08-09-17,11:47,24.07825662,474,40.13122232,46.26,28.28104017,1,7,On,VeryLow,Moderate,No,1,No,8,0,On,11.78
08-09-17,11:52,24.06818459,475,40.13122232,46.62,28.44585521,1,7,On,VeryLow,Moderate,No,1,No,8,0,On,11.87
08-09-17,11:57,24.06818459,476,44.85834218,45.54,28.09791234,1,7,On,VeryLow,Moderate,No,1,No,8,0,On,11.95
08-09-17,12:02,24.06818459,476,50.58435277,45.18,28.13453791,1,7,On,VeryLow,Moderate,No,1,No,8,0,On,12.03
08-09-17,12:07,24.04804053,476,40.13122232,45,27.95141008,1,7,On,VeryLow,Moderate,No,1,No,8,0,On,12.12
08-09-17,12:12,24.04804053,476,40.13122232,46.98,27.97582713,1,6,On,VeryLow,Moderate,No,1,No,8,0,On,12.2
08-09-17,12:17,24.06818459,476,45.58804415,45.36,28.18337199,1,6,On,VeryLow,Moderate,No,1,No,8,0,On,12.28
08-09-17,12:22,24.04804053,476,65.21847532,45.54,28.37870834,1,6,On,VeryLow,Moderate,No,1,No,8,0,On,12.37
